Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Hymenobacteraceae	0.015936255	0.058162078	1.259477151	0.109051254	2.351295835	1.331698891	0.284992551	0.644617444	1.732015409	2.188114416	0.003079576	0	0.004084634	0	0.005185377	0.008131734	0.136258346	0.411789501	0.338851022	0.048590865	0.00738021	0.001831401	0	0	0.004276611	0	0.01198107	0	0.030006376	0.0037319	0.007196315	0.004586735	0.013199578	0.0135483	0
Rhodobacteraceae	0.3187251	0.445909267	0.401872644	0.18366527	0.384598575	0.256310247	0.647710344	0.659493232	1.170603518	0.60252426	1.161000246	0.964477348	1.037496937	1.293226929	0.834845735	1.305143322	1.890584548	0.969488668	0.893865628	1.554907677	0.352405026	0.450524696	0.50696065	0.28150134	0.064149168	0.171183195	0.275564608	0.237070008	0.307565358	0.481415137	0.226683938	3.086872764	3.128299894	2.398049045	2.451655556
Beggiatoaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromatiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidesmiaceae	0.044621514	0.085304382	0.070431288	0.109051254	0.091779205	0.128155123	0.116587862	0.06942034	0.095559471	0.085621868	0	0	0	0	0	0	0.020438752	0.003242437	0.023369036	0.01079797	0.057196627	0.073256048	0.040234972	0.174262735	0.12188342	0.037718331	0.071886419	0.149983066	0.093769926	0.369458128	0.082757628	0	0	0	0
AKYH767	0	0	0	0	0	0	0	0.004958596	0	0	0.009238729	0.006792094	0	0	0	0	0.034064586	0.003242437	0	0.016196955	0	0	0	0	0	0	0	0	0	0	0	0.082561233	0.105596621	0.101612248	0.104677428
Synechococcales_unclassified	0.003187251	0.007754944	0.09528939	0.057395397	0.069927014	0.066863543	0.006477103	0.019834383	0.002986233	0.006342361	0	0	0	0	0.007778066	0	0	0	0.029211295	0	0.328419344	2.838671868	2.510662268	0.797587131	1.096950776	0.171183195	0.173725514	0.033867144	0.176287461	0.070906105	0.082757628	0.013760205	0	0.00677415	0.005509338
Nitrospiraceae	0	0	0	0	0	0	0	0	0.005972467	0.00317118	0.036954915	0	0	0.00409249	0.002592689	0	0.078348549	0.035666807	0.003894839	0.048590865	0	0	0	0	0	0	0	0	0	0	0.003598158	1.054949087	0.791974657	0.928058529	0.760288689
Methylomonaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013760205	0	0	0.005509338
Pedosphaeraceae	0	0	0	0.00573954	0.004370438	0	0.01943131	0.03471017	0.104518171	0.041225344	0.877679231	0.20376282	0.29409362	0.069572335	0.137412497	0.182964017	0.555252759	0.201031095	0.019474197	0.323939099	0.005535157	0.027471018	0.024140983	0	0.002138306	0.00580282	0	0.004838163	0	0.0037319	0	1.724612421	1.821541711	1.395474868	1.504049364
Solibacteraceae_(Subgroup_3)	0.012749004	0	0.004143017	0	0	0.011143924	0.01943131	0.019834383	0.050765969	0	0.141660508	0.074713034	0.012253901	0	0.067409904	0.004065867	0.102193759	0.048636555	0.015579357	0.14037361	0.001845052	0.020145413	0.016093989	0.006702413	0	0.00290141	0	0.004838163	0	0.0037319	0	0.027520411	0.065997888	0.02032245	0.016528015
Hyphomicrobiaceae	0.070119522	0.1240791	0.120147491	0.034437238	0.131113151	0.144871009	0.330332275	0.322308722	0.633081494	0.250523245	0.391106184	0.13584188	0.130708275	0.171884592	0.305937257	0.182964017	0.398555662	0.36963782	0.099318403	0.394125904	0.243546929	0.553083164	0.458678684	0.777479893	0.42338451	0.925549817	0.449290122	0.832164111	0.900191291	0.835945664	0.36701209	0.632969452	0.646779303	0.474190489	0.473803096
Pseudomonadaceae	0.06374502	0.178363707	1.83121349	1.262698732	0.480748219	0.317601828	0.284992551	0.178509446	0.253829844	0.250523245	0	0	0	0	0	0.004065867	0	0	0.00194742	0	0	0	0	0	0	0	0.005990535	0	0	0.0037319	0	0.307311256	0.290390707	0.155805446	0.170789488
Roseiflexaceae	0	0	0	0	0	0	0	0	0	0	0.003079576	0	0.004084634	0	0	0	0	0	0	0	0	0	0.004023497	0	0	0	0	0	0	0	0	0	0	0	0
NS11-12_marine_group	0.003187251	0.019387359	0.033144136	0	0.008740877	0.016715886	0.006477103	0.009917191	0.029862335	0	1.619857108	1.263329484	0.9966506	1.17454471	1.581540057	0.939215288	0.119226053	0.084303362	0.00194742	0.04319188	0.282293031	0.234419354	0.221292347	0.154155496	0.05345764	0.162478965	0.089858024	0.072572451	0.022504782	0.089565607	0.100748417	0.055040822	0.065997888	0.081289798	0.077130737
Leptospiraceae	0	0	0	0	0	0	0.006477103	0	0	0	0.033875339	0.027168376	0.004084634	0.036832413	0.010370754	0.008131734	0	0	0	0	0.0738021	0.01465121	0.008046994	0.013404826	0.044904418	0.063831022	0.005990535	0	0.007501594	0	0.035981577	0.004586735	0.013199578	0.027096599	0.027546692
Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00917347	0.013199578	0	0
Nostocales_unclassified	0.003187251	0.007754944	0.074574305	0.103311714	0.039333945	0.1170112	0.077725241	0.109089106	0.053752202	0.085621868	0.080068983	0.040752564	0.049015603	0.061387354	0.152968628	0.154502948	0.030658128	0.113485296	0.00194742	0.07558579	0.057196627	0.095232863	0.064375956	0.020107239	0.128298336	0.034816921	0.005990535	0	0.041258767	0.007463801	0.093552101	0.096321438	0.092397043	0.02032245	1.696876205
Blastocatellaceae	0	0.003877472	0.004143017	0	0.192299288	0.345461637	0.148973379	0.089254723	0.206050109	0.025369443	0.083148559	0.13584188	0.355363124	0.049109883	0.334456832	0.150437081	0.163510015	0.15239454	0	0.091782745	0.003690105	0.020145413	0.004023497	0	0.002138306	0.00290141	0	0.019352654	0.003750797	0.048514704	0	0.032107146	0.039598733	0.0135483	0.016528015
Beijerinckiaceae	0.647011952	0.643660333	0.174006712	0.206623429	0.139854027	0.072435505	0.103633655	0.13884068	0.08660077	0.072937147	0.237127371	0.06792094	0.053100237	0.13914467	0.127041742	0.048790405	0.027251669	0.428001686	0.225900682	0.037792895	0.230631561	0.115378276	0.120704917	0.147453083	0.205277338	0.147971914	0.347451027	0.270937152	0.348824125	0.246305419	0.187104203	0.032107146	0.013199578	0.00677415	0.022037353
